username,public_repos,public_gists,followers,following,repos_count,contribution,JavaScript,Java,HTML,CSS,C,Python,C++,TypeScript,C#,Dart,Kotlin,PHP,Go,industry_score
MathuKirishna,22,0,0,0,22,11,8.06,75.38,42.03,4.73,0.0,99.68,0.0,45.42,0.0,0.0,0.0,0.0,0.0,17.73888888888889
TharinduMoraDs,7,0,0,2,7,10,75.27,100.0,56.07,0.61,0.0,0.0,70.29,0.0,0.0,0.0,0.0,0.0,0.0,17.68
TheekshanaM,21,0,0,0,21,12,80.59,78.1,29.45,8.74,0.0,0.0,0.0,0.0,10.6,0.0,0.0,0.0,100.0,19.415555555555557
PasinduBM,15,0,0,0,15,9,0.0,84.45,20.89,79.11,0.0,0.0,0.0,0.0,0.0,93.93,0.0,0.0,0.0,17.13222222222222
Asitha071,7,0,0,0,7,2,36.51,0.0,46.08,8.06,0.0,27.14,0.0,0.0,0.0,0.0,0.0,53.25,0.0,10.280000000000001
kavindupath,33,0,1,5,30,4,50.33,18.29,8.19,9.0,4.74,47.24,86.77,68.32,81.4,0.0,0.0,0.0,0.0,24.626666666666665
KasunPerera1995,7,0,0,0,7,3,0.0,99.37,92.11,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,16.971111111111114
TharinduPrasad,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madushini,1,0,0,0,1,2,11.01,0.0,27.56,6.98,0.0,0.0,0.0,54.45,0.0,0.0,0.0,0.0,0.0,5.666666666666667
MadaraPremawardhana,29,0,5,16,29,10,53.59,53.8,25.08,7.43,0.45,91.27,90.08,1.76,3.58,0.0,0.0,0.0,0.0,22.557777777777773
MaduRajapaksha,12,0,0,0,12,9,5.47,0.0,11.15,1.41,0.0,82.13,100.0,81.98,0.0,0.0,0.0,0.0,0.0,17.007777777777775
lrlakshan,14,0,1,2,14,8,67.53,54.02,8.68,15.03,0.0,5.88,0.0,0.0,100.0,0.0,0.0,18.41,0.0,16.697222222222223
AroshaMalithi,4,0,0,0,4,7,0.0,98.11,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,17.00611111111111
RuchiraGamage,38,0,1,1,30,14,25.44,89.83,15.35,15.11,9.83,52.41,59.94,45.03,58.04,0.0,14.79,10.45,0.72,25.941111111111113
SupNuwz,15,0,1,4,15,9,9.3,75.6,10.38,10.75,0.0,66.8,0.0,53.75,53.03,0.0,0.0,0.0,0.0,17.478333333333335
DeveloperAsela,6,0,1,0,6,2,30.52,0.0,47.59,16.47,0.0,0.0,0.0,51.74,0.0,0.0,0.0,0.0,0.0,8.851111111111111
thilinasampath10,5,0,1,1,5,14,51.26,100.0,36.89,3.32,0.0,0.0,0.0,73.6,0.0,0.0,0.0,98.36,0.0,20.85722222222222
Yachitha,43,0,5,16,30,15,26.18,83.47,22.14,21.64,0.0,30.73,0.3,34.28,0.06,0.18,1.32,38.56,6.75,19.978333333333335
LakminiSenanayake,6,0,0,0,6,4,0.0,93.92,0.0,0.6,0.0,49.67,0.0,0.0,85.79,0.0,0.0,0.0,0.0,13.443333333333335
ShakeerAkmal,6,0,0,0,6,4,16.57,98.36,18.18,7.51,0.0,45.41,0.0,0.0,34.42,0.0,0.0,0.0,0.0,12.913888888888888
HansaTharuka,77,0,4,1,30,13,67.5,99.92,32.17,13.82,0.0,66.21,100.0,70.78,0.0,0.0,100.0,0.0,0.0,36.8
dinukaudan,24,0,0,0,24,3,39.38,89.75,22.87,38.63,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.81277777777778
shashinichathurika,3,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.888888888888889
NipuniWeerasinghe,6,0,0,1,6,13,44.89,100.0,7.86,23.95,0.0,100.0,0.0,0.0,100.0,0.0,0.0,22.21,0.0,22.883888888888887
Danodya,19,0,5,0,19,2,41.76,27.05,24.34,7.26,6.13,28.89,26.44,26.07,1.03,0.07,0.21,0.3,1.88,13.023888888888886
nuwanwixx,22,4,4,3,22,13,39.76,84.62,14.22,10.28,0.0,0.0,0.0,0.0,92.56,0.0,8.14,60.63,0.0,20.28944444444444
theja,9,0,6,6,9,2,3.35,0.0,33.91,11.96,0.0,70.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.29611111111111
154141K,6,0,1,2,6,3,0.0,100.0,5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.29,0.0,11.738888888888889
ShalkiWenushika,34,0,1,0,30,14,20.57,63.85,13.53,11.84,0.11,11.6,64.17,75.45,9.39,0.0,0.0,0.0,47.37,21.27111111111111
ChamikaraM,4,0,1,6,4,1,4.15,36.07,6.96,1.0,4.09,8.97,7.78,0.34,57.48,0.04,0.44,1.17,1.56,8.058333333333332
Vishmatha7,8,0,0,0,8,2,20.99,1.16,45.38,6.57,0.0,0.18,0.3,44.45,0.06,0.18,1.32,24.34,0.24,8.95388888888889
